Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_t,char_o,char_a,char_n,char_i,char_r,char_s,char_h,char_l,char_d,char_c,char_u,char_f,char_m,char_p,char_g,char_y,char_b,char_w,char_ſ,char_v,char_ī,char_k,char_é,Language
Daniel G. Brinton,e,12.08,t,9.15,a,8.54,o,7.99,i,7.88,n,7.19,r,6.29,s,6.29,h,4.78,l,3.88,12.08,9.15,7.99,8.54,7.19,7.88,6.29,6.29,4.78,3.88,3.5,3.55,2.89,2.3,2.43,2.08,1.83,1.7,1.62,1.38,,,,,,English
Daniel Knower,e,12.6,t,9.92,a,8.2,o,7.96,n,7.01,i,6.89,r,6.02,h,5.95,s,5.58,d,4.33,12.6,9.92,7.96,8.2,7.01,6.89,6.02,5.58,5.95,3.36,4.33,2.82,2.6,2.56,2.56,1.8,1.97,1.77,1.47,2.46,,,,,,English
Dante Alighieri,e,12.96,t,9.57,o,7.57,a,7.48,i,7.02,h,6.97,n,6.71,s,6.44,r,5.87,d,4.13,12.96,9.57,7.57,7.48,6.71,7.02,5.87,6.44,6.97,3.71,4.13,2.54,2.68,2.47,2.54,1.62,1.89,1.62,1.48,2.53,,,,,,English
David Collins,e,13.02,t,9.73,o,7.75,a,7.63,n,7.18,i,6.48,r,6.3,h,6.29,s,5.92,d,4.21,13.02,9.73,7.75,7.63,7.18,6.48,6.3,5.92,6.29,3.28,4.21,2.92,2.58,2.64,2.37,2.03,1.84,1.59,1.7,2.27,,,,,,English
David Grayson,e,12.13,t,9.02,o,7.99,a,7.78,i,7.37,n,6.89,h,6.17,s,6.14,r,5.79,d,4.19,12.13,9.02,7.99,7.78,6.89,7.37,5.79,6.14,6.17,3.99,4.19,2.51,2.86,2.38,2.69,1.78,2.08,2.06,1.35,2.52,,,,,,English
David Herbert Lawrence,e,12.94,t,8.63,a,7.82,h,7.5,o,7.25,i,6.69,s,6.49,n,6.45,r,5.64,d,4.73,12.94,8.63,7.25,7.82,6.45,6.69,5.64,6.49,7.5,4.45,4.73,1.99,2.73,2.0,2.64,1.42,2.14,2.02,1.4,2.82,,,,,,English
David Hume,e,12.94,t,9.53,i,7.94,o,7.75,n,7.75,a,7.55,s,6.83,r,6.08,h,4.96,c,3.5,12.94,9.53,7.75,7.55,7.75,7.94,6.08,6.83,4.96,3.25,3.26,3.5,2.89,2.55,2.52,2.17,1.35,1.82,1.55,1.57,,,,,,English
David Kalakaua,e,12.7,a,9.34,t,8.64,o,7.37,i,7.08,n,6.84,h,6.62,s,5.82,r,5.71,d,4.52,12.7,8.64,7.37,9.34,6.84,7.08,5.71,5.82,6.62,3.77,4.52,2.36,2.92,2.76,2.3,1.92,1.86,1.31,1.39,2.24,,,,,,English
David M. Mitchell,e,11.68,t,9.53,o,7.98,i,7.61,a,7.48,n,6.89,r,6.62,s,6.26,h,4.64,l,4.37,11.68,9.53,7.98,7.48,6.89,7.61,6.62,6.26,4.64,4.37,3.72,3.34,3.03,2.47,2.11,2.68,2.23,1.55,1.67,1.72,,,,,,English
David P. Barrows,e,12.55,t,8.92,a,8.5,o,7.49,n,7.41,i,7.39,s,6.5,r,6.26,h,5.59,d,4.19,12.55,8.92,7.49,8.5,7.41,7.39,6.26,6.5,5.59,3.83,4.19,3.02,2.55,2.6,2.33,2.47,1.73,1.51,1.4,1.68,,,,,,English
