Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,Language,char_k,char_y,char_j,char_w,char_z,char_ſ,char_ī,char_é,char_þ,char_ä,char_ö,char_á,char_æ,char_о,char_а,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_б,char_ь,char_м,char_ч,char_я,char_í,char_å,char_ó
Nahum Sokolow,e,12.42,t,9.06,i,8.37,a,7.83,o,7.58,n,7.4,s,6.64,r,6.05,h,5.53,l,3.94,12.42,7.83,6.64,7.4,8.37,6.05,3.94,9.06,7.58,2.44,3.64,2.86,2.41,2.09,,1.56,1.53,2.45,5.53,,English,,1.43,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel C. Fowler,e,12.04,t,9.03,a,8.3,o,7.66,i,7.4,n,7.1,s,6.62,r,6.37,h,4.57,l,4.21,12.04,8.3,6.62,7.1,7.4,6.37,4.21,9.03,7.66,2.87,3.71,3.46,2.61,2.22,,1.93,1.84,2.34,4.57,,English,,1.75,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Hawthorne,e,12.83,t,9.17,a,7.77,o,7.39,i,6.89,n,6.66,h,6.59,s,6.29,r,6.12,d,4.2,12.83,7.77,6.29,6.66,6.89,6.12,4.1,9.17,7.39,2.72,4.2,2.58,2.57,1.87,,1.97,1.58,2.52,6.59,,English,,1.75,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel W. Stephenson,e,12.59,t,9.94,o,7.93,a,7.7,n,7.4,i,7.27,s,6.45,r,6.08,h,5.63,l,3.84,12.59,7.7,6.45,7.4,7.27,6.08,3.84,9.94,7.93,2.57,3.71,3.19,2.4,2.14,,1.72,1.42,2.47,5.63,,English,,1.56,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natt Noyes Dodge,e,11.56,t,8.32,a,8.31,o,8.02,s,7.24,i,7.09,r,6.93,n,6.76,l,5.09,h,3.73,11.56,8.31,7.24,6.76,7.09,6.93,5.09,8.32,8.02,3.12,3.38,3.38,2.67,2.39,,2.08,1.69,2.48,3.73,,English,,1.73,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nephi Anderson,e,13.04,t,9.25,o,7.69,a,7.67,h,6.85,n,6.74,i,6.64,s,6.17,r,6.12,d,4.4,13.04,7.67,6.17,6.74,6.64,6.12,3.96,9.25,7.69,2.84,4.4,2.21,2.42,1.66,,2.15,1.42,2.17,6.85,,English,,1.91,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nesta H. Webster,e,12.75,t,9.51,a,7.7,i,7.66,o,7.54,n,6.91,s,6.79,r,6.41,h,5.63,l,3.78,12.75,7.7,6.79,6.91,7.66,6.41,3.78,9.51,7.54,2.49,3.72,3.19,2.58,1.93,,1.71,1.57,2.45,5.63,,English,,1.61,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Culpeper,e,12.49,t,8.71,o,7.73,a,7.69,s,7.09,n,6.78,i,6.75,r,6.29,h,5.52,l,4.51,12.49,7.69,7.09,6.78,6.75,6.29,4.51,8.71,7.73,2.9,4.19,2.75,2.45,2.15,,2.03,1.66,2.5,5.52,,English,,1.68,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolo Machiavelli,e,12.89,t,9.34,o,7.84,a,7.6,i,7.41,n,7.04,h,6.43,s,6.1,r,5.95,d,4.07,12.89,7.6,6.1,7.04,7.41,5.95,3.48,9.34,7.84,2.73,4.07,3.17,2.39,1.79,,1.72,1.57,2.47,6.43,,English,,1.78,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolai Vasilievich Gogol,e,12.34,t,9.09,o,7.9,a,7.9,i,6.93,n,6.81,h,6.62,s,6.28,r,5.77,d,4.3,12.34,7.9,6.28,6.81,6.93,5.77,3.9,9.09,7.9,2.85,4.3,2.75,2.3,1.77,,1.94,1.44,2.31,6.62,,English,,1.84,,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolay Rimsky-Korsakov,e,11.85,t,9.09,o,8.6,s,7.41,i,7.39,n,7.33,a,7.07,r,6.65,h,4.5,l,4.01,11.85,7.07,7.41,7.33,7.39,6.65,4.01,9.09,8.6,2.65,3.66,3.59,2.66,2.29,,1.84,1.79,2.51,4.5,,English,,1.34,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
